,text,scam
0,"#notafilia #monety #coins #złoty #Polish #zloty 
1 grudnia 2022 r. Narodowy Bank Polski (National Bank of Poland; NBP) wyemituje monety kolekcjonerskie serii Skarby Stanisława Augusta – August II Mocny

https://t.co/9XsAuEB6Z6",0
1,"@EmiliaKaminska @LBalcerowicz Ma temat Balcerowicza jest b.ciekawa opinia śp.J.Targalskiego w archiwum @TVRepublikapl .Poza tym Balc. był wicepremierem i formalnie nadzorował FOZZ.Balce. na naradzie(91r),zachował się po chamsku wobec M.Falzmanna.W ministerstwie fin.(i NBP),w rządzie roiło się od TW WSI i SB.",0
2,"RT @AgnKaminska: Ekspert Tuska, studia w ZSRR i nagroda od Kiszczaka. Kto wspiera PO w usunięciu szefa NBP? https://t.co/Wr824H90Jd #wieszw…",0
3,"Ekspert Tuska, studia w ZSRR i nagroda od Kiszczaka. Kto wspiera PO w usunięciu szefa NBP? https://t.co/Wr824H90Jd #wieszwiecej",0
4,"RT @GrzelinskMa: ""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świ…",0
5,"@KonradPiasecki Wasz ""geniusz"" zrobił też taki numer gosp., który nazwaliście dla niepoznaki ""dziurą Bauca"", a potem jako szef NBP odwalał podobnie zabawne numery i głosząc brednie, jak równie zmanierowany Glapiński🙅‍♂️
Kto mógł to zrobić lepiej ... chyba każdy 🙄",0
6,"RT @GPopielar: Kiedy w 2007 L.Balcerowicz opuszczał fotel Prezesa NBP, inflacja wynosiła 2,3%,a $ kosztował 2,80 zł …",0
7,@smieszny23 @Lukasz_Najder I pod koniec 90 jak się z tego gówna zaczęliśmy wygrzebywać Balcer wrócił jako min. fin. a potem prezes NBP. I pyk  bezrobocie na ponad 20%. Zeszło dopiero jak nas do uni wpuścili i 2 bańki za pracą wyjechało. Człowiek sukces po prostu.,0
8,"@AlexanderGrzeg1 @tomashek123 @YouTube Czy dalej dostrzega Pan remedium? Jeśli właściwie kojarzę Pana tweety, przeciwdziałaniem stagflacji, biflacji czy infalcji miało być podnoszenie stóp, w zakresie i dynamice odmiennej od działań NBP.",0
9,"RT @rynekpierwotny: NBP pod koniec ub. roku zapytał ok. 200 firm deweloperskich o to, jakie czynniki utrudniały ich działalność, związaną z…",0
10,"Kiedy w 2007 L.Balcerowicz opuszczał fotel Prezesa NBP, inflacja wynosiła 2,3%,a $ kosztował 2,80 zł …",0
11,"2/ Zanim zacznę dodam, że jest film (co prawda słabej jakości) z tego wystąpienia, który także polecam, tym bardziej, że od 50 minuty można zobaczyć wykład @AdamCzerniak nt. tego, czym jest mieszkanie a od 1:41h wykład J.Kotłowskiego z NBP nt. modelowania https://t.co/6RBVQdt774",0
12,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
